Dim 1,Dim 2,Time (sec.),Block
1024,1024,6.94,1
1024,1024,1.37,2
1024,1024,0.54,4
1024,1024,0.32,8
1024,1024,0.30,16
1024,1024,0.31,32
1024,1024,0.29,64
1024,1024,0.26,128
1024,1024,0.50,256
1024,1024,1.35,512
1024,1024,2.04,1024
1024,2048,64.90,1
1024,2048,13.03,2
1024,2048,5.57,4
1024,2048,2.69,8
1024,2048,2.44,16
1024,2048,2.28,32
1024,2048,2.19,64
1024,2048,2.08,128
1024,2048,3.65,256
1024,2048,8.95,512
1024,2048,14.47,1024
1024,2880,150.31,1
1024,2880,31.77,2
1024,2880,13.70,4
1024,2880,7.33,8
1024,2880,5.83,16
1024,2880,5.78,32
1024,2880,5.51,64
1024,2880,7.98,144
1024,2880,11.16,288
1024,2880,13.55,576
1024,2880,23.41,1440
